row_number,transction_year,transction_month,province_name_th,province_name_en,district_name_th,district_name_en,propertytype_name_th,propertytype_name_en,volume_of_project,interest,day
1660,2020,2,กรุงเทพมหานคร,Bangkok,บางกอกน้อย,BANGKOK NOI,คอนโด,Condo,26,128,2023-08-31
806,2020,3,กรุงเทพมหานคร,Bangkok,ยานนาวา,YAN NAWA,คอนโด,Condo,27,157,2023-08-31
1829,2022,7,กรุงเทพมหานคร,Bangkok,ทวีวัฒนา,THAWI WATTHANA,บ้าน,Detached House,14,323,2023-08-31
1773,2019,7,กรุงเทพมหานคร,Bangkok,บางกะปิ,BANG KAPI,ทาวน์โฮม,Townhome,70,705,2023-08-31
253,2020,6,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,บ้านแฝด,Twin house,40,575,2023-08-31
601,2019,10,นนทบุรี,Nonthaburi,บางบัวทอง,BANG BUA THONG,อาคารพาณิชย์,Commercial,66,6996,2023-08-31
1268,2021,7,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,ทาวน์โฮม,Townhome,16,122,2023-08-31
340,2019,9,กรุงเทพมหานคร,Bangkok,บางแค,BANG KHAE,บ้าน,Detached House,44,238,2023-08-31
1255,2019,3,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,ทาวน์โฮม,Townhome,20,142,2023-08-31
2153,2020,5,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,บ้านแฝด,Twin house,36,374,2023-08-31
1009,2021,5,นครปฐม,Nakhon Pathom,สามพราน,SAM PHRAN,ทาวน์โฮม,Townhome,23,202,2023-08-31
51,2019,6,นนทบุรี,Nonthaburi,ปากเกร็ด,PAK KRET,คอนโด,Condo,10,27,2023-08-31
1539,2021,8,กรุงเทพมหานคร,Bangkok,บางเขน,BANG KHEN,คอนโด,Condo,20,108,2023-08-31
214,2021,9,นครปฐม,Nakhon Pathom,พุทธมณฑล,PHUTTHAMONTHON,ทาวน์โฮม,Townhome,19,705,2023-08-31
1626,2019,7,กรุงเทพมหานคร,Bangkok,สายไหม,SAI MAI,บ้านแฝด,Twin house,18,71,2023-08-31
977,2020,4,ปทุมธานี,Pathum Thani,เมืองปทุมธานี,MUEANG PATHUM THANI,บ้านแฝด,Twin house,132,1466,2023-08-31
1489,2020,5,นนทบุรี,Nonthaburi,ไทรน้อย,SAI NOI,บ้านแฝด,Twin house,39,1796,2023-08-31
1953,2020,7,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,บ้านแฝด,Twin house,86,1040,2023-08-31
992,2020,1,กรุงเทพมหานคร,Bangkok,คลองเตย,KHLONG TOEI,ทาวน์โฮม,Townhome,20,77,2023-08-31
40,2021,3,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,คอนโด,Condo,20,105,2023-08-31
2273,2020,5,สมุทรสาคร,Samut Sakhon,กระทุ่มแบน,KRATHUM BAEN,ทาวน์โฮม,Townhome,23,281,2023-08-31
1353,2020,2,สมุทรปราการ,Samut Prakan,บางเสาธง,BANG SAO THONG,โฮมออฟฟิศ,Home office,35,247,2023-08-31
2175,2020,4,กรุงเทพมหานคร,Bangkok,สายไหม,SAI MAI,บ้าน,Detached House,76,786,2023-08-31
2263,2020,6,กรุงเทพมหานคร,Bangkok,จอมทอง,CHOM THONG,ทาวน์โฮม,Townhome,23,88,2023-08-31
148,2019,4,ปทุมธานี,Pathum Thani,เมืองปทุมธานี,MUEANG PATHUM THANI,ทาวน์โฮม,Townhome,88,807,2023-08-31
1333,2019,10,กรุงเทพมหานคร,Bangkok,ทุ่งครุ,THUNG KHRU,บ้าน,Detached House,45,1656,2023-08-31
700,2022,5,กรุงเทพมหานคร,Bangkok,ยานนาวา,YAN NAWA,คอนโด,Condo,7,11,2023-08-31
1723,2020,10,กรุงเทพมหานคร,Bangkok,บางเขน,BANG KHEN,ทาวน์โฮม,Townhome,25,315,2023-08-31
1424,2020,3,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,บ้าน,Detached House,89,469,2023-08-31
672,2021,3,กรุงเทพมหานคร,Bangkok,จตุจักร,CHATUCHAK,ทาวน์โฮม,Townhome,34,254,2023-08-31
2046,2022,12,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,บ้าน,Detached House,13,34,2023-08-31
1284,2021,3,กรุงเทพมหานคร,Bangkok,วัฒนา,VADHANA,บ้าน,Detached House,44,135,2023-08-31
1708,2022,1,กรุงเทพมหานคร,Bangkok,ลาดพร้าว,LAT PHRAO,บ้านแฝด,Twin house,30,195,2023-08-31
1165,2019,3,กรุงเทพมหานคร,Bangkok,ราชเทวี,RATCHATHEWI,คอนโด,Condo,25,86,2023-08-31
2213,2020,10,สมุทรสาคร,Samut Sakhon,เมืองสมุทรสาคร,MUEANG SAMUT SAKHON,บ้าน,Detached House,73,714,2023-08-31
916,2019,6,กรุงเทพมหานคร,Bangkok,มีนบุรี,MIN BURI,ทาวน์โฮม,Townhome,120,1221,2023-08-31
550,2021,6,กรุงเทพมหานคร,Bangkok,สายไหม,SAI MAI,โฮมออฟฟิศ,Home office,13,18,2023-08-31
2088,2019,6,กรุงเทพมหานคร,Bangkok,คลองสามวา,KHLONG SAM WA,ทาวน์โฮม,Townhome,86,2272,2023-08-31
1801,2020,5,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,บ้าน,Detached House,75,515,2023-08-31
2039,2019,3,กรุงเทพมหานคร,Bangkok,ประเวศ,PRAWET,บ้าน,Detached House,47,265,2023-08-31
2291,2022,5,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,คอนโด,Condo,6,60,2023-08-31
2147,2019,7,สมุทรปราการ,Samut Prakan,พระประแดง,PHRA PRADAENG,ทาวน์โฮม,Townhome,9,15,2023-08-31
623,2022,1,ปทุมธานี,Pathum Thani,คลองหลวง,KHLONG LUANG,ทาวน์โฮม,Townhome,27,631,2023-08-31
168,2019,10,สมุทรสาคร,Samut Sakhon,เมืองสมุทรสาคร,MUEANG SAMUT SAKHON,บ้าน,Detached House,75,1622,2023-08-31
1808,2019,8,ปทุมธานี,Pathum Thani,คลองหลวง,KHLONG LUANG,บ้าน,Detached House,112,992,2023-08-31
2094,2020,4,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,คอนโด,Condo,25,89,2023-08-31
1569,2022,7,นนทบุรี,Nonthaburi,บางใหญ่,BANG YAI,ทาวน์โฮม,Townhome,21,457,2023-08-31
