row_number,subdistrict_id,subdistrict_name_en,subdistrict_name_th,district_id,district_name_en,district_name_th,province_id,province_name_en,province_name_th,walk_leisure,walk_public_service,walk_school,walk_shopping,walk_work,walk_total,access_boat,access_bus,access_train,access_total,drive_leisure,drive_public_service,drive_school,drive_shopping,drive_work,drive_total,source,day
295,3414,BANG LEN,บางเลน,3411,BANG YAI,บางใหญ่,3372,Nonthaburi,นนทบุรี,78.0,98.0,96.0,98.0,99.0,94.0,78.0,96.0,2.0,70.0,98.0,100.0,100.0,100.0,100.0,100.0,baania,2023-08-31
227,3680,PHRA PRATHON,พระประโทน,3668,MUEANG NAKHON PATHOM,เมืองนครปฐม,3667,Nakhon Pathom,นครปฐม,1.0,10.0,45.0,70.0,60.0,47.0,0.0,1.0,0.0,0.0,68.0,75.0,75.0,75.0,75.0,74.0,baania,2023-08-31
260,3772,THA TALAT,ท่าตลาด,3764,SAM PHRAN,สามพราน,3667,Nakhon Pathom,นครปฐม,45.0,26.0,62.0,94.0,94.0,74.0,0.0,88.0,0.0,35.0,94.0,94.0,94.0,94.0,94.0,94.0,baania,2023-08-31
5,3547,SAMRONG KLANG,สำโรงกลาง,3533,PHRA PRADAENG,พระประแดง,3498,Samut Prakan,สมุทรปราการ,90.0,100.0,90.0,100.0,100.0,97.0,100.0,100.0,0.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,baania,2023-08-31
277,3944,THANON PHET BURI,ถนนเพชรบุรี,3942,RATCHATHEWI,ราชเทวี,3781,Bangkok,กรุงเทพมหานคร,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,81.0,100.0,100.0,91.0,97.0,baania,2023-08-31
290,3978,THUNG MAHAMEK,ทุ่งมหาเมฆ,3977,SATHON,สาทร,3781,Bangkok,กรุงเทพมหานคร,99.0,100.0,99.0,100.0,100.0,100.0,100.0,99.0,68.0,93.0,100.0,84.0,100.0,97.0,100.0,97.0,baania,2023-08-31
135,3842,BANG YI RUEA,บางยี่เรือ,3839,THON BURI,ธนบุรี,3781,Bangkok,กรุงเทพมหานคร,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,99.0,baania,2023-08-31
224,3894,NAWAMIN,นวมินทร์,3892,BUENG KUM,บึงกุ่ม,3781,Bangkok,กรุงเทพมหานคร,97.0,98.0,97.0,99.0,100.0,98.0,1.0,96.0,37.0,46.0,99.0,60.0,100.0,94.0,96.0,92.0,baania,2023-08-31
120,3768,KHLONG MAI,คลองใหม่,3764,SAM PHRAN,สามพราน,3667,Nakhon Pathom,นครปฐม,53.0,20.0,85.0,90.0,95.0,76.0,0.0,1.0,0.0,0.0,77.0,100.0,100.0,100.0,100.0,95.0,baania,2023-08-31
235,3409,LAM PHO,ลำโพ,3402,BANG BUA THONG,บางบัวทอง,3372,Nonthaburi,นนทบุรี,58.0,87.0,95.0,99.0,100.0,89.0,1.0,96.0,1.0,39.0,95.0,100.0,100.0,100.0,100.0,99.0,baania,2023-08-31
269,3526,BANG PLA,บางปลา,3522,BANG PHLI,บางพลี,3498,Samut Prakan,สมุทรปราการ,77.0,76.0,91.0,95.0,100.0,89.0,1.0,28.0,0.0,12.0,94.0,94.0,96.0,98.0,100.0,97.0,baania,2023-08-31
96,3406,BANG RAK YAI,บางรักใหญ่,3402,BANG BUA THONG,บางบัวทอง,3372,Nonthaburi,นนทบุรี,80.0,100.0,87.0,93.0,100.0,91.0,98.0,98.0,23.0,83.0,97.0,100.0,99.0,99.0,100.0,99.0,baania,2023-08-31
192,3866,BANG KHO LAEM,บางคอแหลม,3865,BANG KHO LAEM,บางคอแหลม,3781,Bangkok,กรุงเทพมหานคร,100.0,100.0,100.0,100.0,100.0,100.0,77.0,96.0,100.0,90.0,100.0,94.0,100.0,95.0,99.0,97.0,baania,2023-08-31
286,3808,BANG KHUN THIAN,บางขุนเทียน,3806,CHOM THONG,จอมทอง,3781,Bangkok,กรุงเทพมหานคร,81.0,97.0,81.0,100.0,100.0,94.0,74.0,96.0,25.0,73.0,100.0,71.0,100.0,93.0,94.0,93.0,baania,2023-08-31
95,3417,SAO THONG HIN,เสาธงหิน,3411,BANG YAI,บางใหญ่,3372,Nonthaburi,นนทบุรี,76.0,86.0,77.0,94.0,95.0,88.0,98.0,98.0,1.0,78.0,98.0,99.0,97.0,100.0,100.0,99.0,baania,2023-08-31
273,3778,RAI KHING,ไร่ขิง,3764,SAM PHRAN,สามพราน,3667,Nakhon Pathom,นครปฐม,56.0,16.0,36.0,94.0,100.0,73.0,0.0,93.0,0.0,37.0,97.0,94.0,93.0,100.0,100.0,98.0,baania,2023-08-31
66,3603,BANG KHU WAT,บางคูวัด,3600,MUEANG PATHUM THANI,เมืองปทุมธานี,3599,Pathum Thani,ปทุมธานี,54.0,30.0,39.0,92.0,89.0,72.0,0.0,89.0,0.0,36.0,100.0,99.0,89.0,94.0,68.0,93.0,baania,2023-08-31
73,3508,BANG MUEANG MAI,บางเมืองใหม่,3499,MUEANG SAMUT PRAKAN,เมืองสมุทรปราการ,3498,Samut Prakan,สมุทรปราการ,92.0,93.0,98.0,99.0,99.0,97.0,47.0,100.0,0.0,59.0,100.0,100.0,100.0,100.0,100.0,100.0,baania,2023-08-31
146,3876,WONG SAWANG,วงศ์สว่าง,3874,BANG SUE,บางซื่อ,3781,Bangkok,กรุงเทพมหานคร,93.0,97.0,93.0,100.0,98.0,97.0,97.0,97.0,84.0,94.0,99.0,73.0,100.0,93.0,96.0,93.0,baania,2023-08-31
117,3540,BANG CHAK,บางจาก,3533,PHRA PRADAENG,พระประแดง,3498,Samut Prakan,สมุทรปราการ,66.0,100.0,71.0,100.0,100.0,90.0,1.0,100.0,0.0,40.0,100.0,100.0,99.0,100.0,100.0,100.0,baania,2023-08-31
264,3922,WANG BURAPHA PHIROM,วังบูรพาภิรมย์,3915,PHRA NAKHON,พระนคร,3781,Bangkok,กรุงเทพมหานคร,80.0,100.0,80.0,100.0,100.0,94.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,98.0,baania,2023-08-31
74,3646,LAM SAI,ลำไทร,3638,LAM LUK KA,ลำลูกกา,3599,Pathum Thani,ปทุมธานี,54.0,54.0,67.0,100.0,100.0,83.0,0.0,1.0,0.0,0.0,100.0,100.0,88.0,88.0,76.0,90.0,baania,2023-08-31
321,3961,WANG THONGLANG,วังทองหลาง,3960,WANG THONGLANG,วังทองหลาง,3781,Bangkok,กรุงเทพมหานคร,98.0,97.0,98.0,100.0,100.0,99.0,71.0,96.0,56.0,78.0,99.0,78.0,100.0,91.0,98.0,93.0,baania,2023-08-31
203,3544,BANG YA PHRAEK,บางหญ้าแพรก,3533,PHRA PRADAENG,พระประแดง,3498,Samut Prakan,สมุทรปราการ,100.0,93.0,80.0,100.0,100.0,97.0,1.0,100.0,0.0,40.0,100.0,100.0,100.0,100.0,100.0,100.0,baania,2023-08-31
225,3871,BANG KHAE NUEA,บางแคเหนือ,3869,BANG KHAE,บางแค,3781,Bangkok,กรุงเทพมหานคร,61.0,91.0,61.0,92.0,96.0,83.0,1.0,90.0,1.0,37.0,94.0,64.0,93.0,88.0,86.0,87.0,baania,2023-08-31
247,3420,KHLONG KLUEA,คลองเกลือ,3418,PAK KRET,ปากเกร็ด,3372,Nonthaburi,นนทบุรี,99.0,98.0,85.0,100.0,100.0,98.0,1.0,100.0,15.0,44.0,100.0,100.0,100.0,100.0,100.0,100.0,baania,2023-08-31
279,3770,SONG KHANONG,ทรงคนอง,3764,SAM PHRAN,สามพราน,3667,Nakhon Pathom,นครปฐม,1.0,20.0,60.0,100.0,100.0,68.0,0.0,86.0,0.0,34.0,73.0,100.0,100.0,100.0,100.0,95.0,baania,2023-08-31
105,3546,SAMRONG,สำโรง,3533,PHRA PRADAENG,พระประแดง,3498,Samut Prakan,สมุทรปราการ,96.0,100.0,96.0,100.0,100.0,99.0,99.0,100.0,0.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,baania,2023-08-31
94,3745,BANG LEN,บางเลน,3744,BANG LEN,บางเลน,3667,Nakhon Pathom,นครปฐม,1.0,20.0,60.0,100.0,100.0,68.0,0.0,1.0,0.0,0.0,64.0,100.0,100.0,100.0,100.0,93.0,baania,2023-08-31
