Time,dust_1,dust_2_5,dust_10
2020-02-05T15:59:20Z,12.21,16.95,18.99
2020-02-05T15:57:26Z,9.92,14.45,31.28
2020-02-05T15:55:33Z,11.1,17.48,48.22
2020-02-05T15:53:36Z,10.55,14.68,29.92
2020-02-05T15:51:39Z,10.62,15.67,50.38
2020-02-05T15:49:41Z,9.96,13.71,27.19
2020-02-05T15:47:47Z,10.81,16.68,28.12
2020-02-05T15:45:54Z,9.99,15.73,23.47
2020-02-05T15:44:01Z,10.24,14.69,22.04
2020-02-05T15:42:07Z,11.05,17.35,53.83
2020-02-05T15:40:14Z,10.52,14.62,21.43
2020-02-05T15:38:19Z,10.05,17.01,27.41
2020-02-05T15:36:26Z,9.59,13.91,15.37
2020-02-05T15:34:32Z,10.05,15.1,17.6
2020-02-05T15:32:38Z,11.28,18.19,23.78
2020-02-05T15:30:45Z,10.71,16.57,33.55
2020-02-05T15:28:51Z,9.77,14.15,30.67
2020-02-05T15:26:57Z,10.52,14.26,15.94
2020-02-05T15:25:03Z,9.93,16.16,25.47
2020-02-05T15:23:10Z,10.64,14.88,39.73
2020-02-05T15:21:16Z,10.45,16.33,29.38
2020-02-05T15:19:22Z,10.62,15.35,24.86
2020-02-05T15:17:28Z,9.88,15.73,30.07
2020-02-05T15:15:34Z,10.9,15.71,52.86
2020-02-05T15:13:40Z,11.97,19.38,30.05
2020-02-05T15:11:46Z,10.52,15.84,22.47
2020-02-05T15:09:51Z,9.43,14.77,40.47
2020-02-05T15:07:57Z,10.11,15.35,31.54
2020-02-05T15:06:03Z,10.96,15.7,28.38
2020-02-05T15:04:09Z,10.82,16.38,24.9
2020-02-05T15:02:15Z,10.26,15.42,19.46
2020-02-05T15:00:20Z,10.57,15.8,26.29
2020-02-05T14:58:27Z,9.97,13.47,18.48
2020-02-05T14:56:33Z,11.12,17.61,30.92
2020-02-05T14:54:40Z,10.39,14.11,41.48
2020-02-05T14:52:46Z,10.89,17.82,40.96
2020-02-05T14:50:53Z,10.92,17.11,25.01
2020-02-05T14:49:00Z,11.17,15.55,18.71
2020-02-05T14:47:06Z,11.01,16.6,40.75
2020-02-05T14:45:13Z,10.45,13.88,14.55
2020-02-05T14:43:19Z,10.13,14.03,15.32
2020-02-05T14:41:25Z,9.46,12.93,14.75
2020-02-05T14:39:32Z,10.41,16.13,35.26
2020-02-05T14:37:37Z,10.61,14.24,24.35
2020-02-05T14:35:44Z,10.91,15.85,20.06
2020-02-05T14:33:49Z,11.26,17.06,29.6
2020-02-05T14:31:55Z,10.85,15.9,47.46
2020-02-05T14:30:01Z,11.29,16.54,27.43
2020-02-05T14:28:07Z,10.48,15.45,23.2
2020-02-05T14:26:13Z,11.4,19.07,46.0
2020-02-05T14:24:20Z,11.06,16.2,23.53
2020-02-05T14:22:26Z,10.75,16.62,32.73
2020-02-05T14:20:33Z,10.44,15.57,38.4
2020-02-05T14:18:39Z,11.13,16.2,32.7
2020-02-05T14:16:45Z,10.36,16.05,23.52
2020-02-05T14:14:51Z,10.63,15.25,16.9
2020-02-05T14:12:57Z,9.9,14.42,32.53
2020-02-05T14:11:03Z,11.5,16.62,27.69
2020-02-05T14:09:09Z,9.95,14.34,75.17
2020-02-05T14:07:15Z,10.14,15.61,33.4
2020-02-05T14:05:22Z,10.93,16.51,32.11
2020-02-05T14:03:25Z,10.39,14.22,15.51
2020-02-05T14:01:31Z,11.7,20.94,66.73
2020-02-05T13:59:37Z,11.3,16.89,41.53
2020-02-05T13:57:43Z,11.55,17.94,26.64
2020-02-05T13:55:50Z,10.63,15.96,22.68
2020-02-05T13:53:56Z,11.14,17.5,37.54
2020-02-05T13:52:03Z,10.77,16.98,34.9
2020-02-05T13:50:07Z,10.02,16.15,75.59
2020-02-05T13:48:13Z,11.05,15.88,26.82
2020-02-05T13:46:11Z,10.96,15.84,41.8
2020-02-05T13:44:13Z,11.96,17.53,21.5
2020-02-05T13:42:18Z,10.45,15.15,22.16
2020-02-05T13:40:24Z,10.86,15.78,23.54
2020-02-05T13:38:30Z,11.08,17.29,32.86
2020-02-05T13:36:23Z,11.63,17.12,38.75
2020-02-05T13:34:10Z,10.92,16.28,25.97
2020-02-05T13:31:53Z,12.61,18.79,21.36
2020-02-05T13:29:50Z,10.9,16.39,21.33
2020-02-05T13:27:56Z,10.68,15.19,18.12
2020-02-05T13:26:02Z,11.97,17.84,26.31
2020-02-05T13:24:04Z,12.05,16.55,21.19
2020-02-05T13:19:54Z,11.31,15.67,26.16
2020-02-05T13:17:47Z,10.4,14.59,19.17
2020-02-05T13:15:26Z,10.32,15.44,35.71
2020-02-05T13:13:31Z,10.83,18.27,24.86
2020-02-05T13:11:35Z,11.41,17.14,28.61
2020-02-05T13:09:40Z,10.26,17.73,63.13
2020-02-05T13:07:45Z,11.36,16.72,33.55
2020-02-05T13:05:50Z,11.25,15.29,22.72
2020-02-05T13:03:54Z,11.73,17.79,39.6
2020-02-05T13:02:00Z,11.43,16.41,23.65
2020-02-05T13:00:04Z,12.25,18.23,20.42
2020-02-05T12:58:08Z,10.93,17.07,19.17
2020-02-05T12:56:12Z,10.52,15.33,33.63
2020-02-05T12:54:18Z,11.93,18.18,28.33
2020-02-05T12:52:23Z,9.92,16.21,27.45
2020-02-05T12:50:27Z,11.92,16.6,18.48
2020-02-05T12:48:32Z,12.15,17.62,45.28
2020-02-05T12:46:36Z,11.2,16.67,29.28
2020-02-05T12:44:40Z,12.23,17.14,22.62
2020-02-05T12:42:45Z,12.03,17.15,19.27
2020-02-05T12:40:50Z,10.81,16.05,25.71
2020-02-05T12:38:55Z,10.81,14.99,19.01
2020-02-05T12:36:59Z,12.29,19.23,37.5
2020-02-05T12:35:04Z,11.3,17.69,23.2
2020-02-05T12:33:07Z,12.31,19.76,24.13
